couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,10,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,Mark Nocera,Am. Waltz,1
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,11,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,Amanda Clark,Am. Waltz,1
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,15,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,Chris Muise,Am. Waltz,1
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,16,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,John Nigro,Am. Waltz,1
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,18,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,Mark Sheldon,Am. Waltz,1
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,21,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,Michael Ulbrich,Am. Waltz,1
AZ,0,1,Final,Corey Cleveland,Clio Flikkema,23,1,1, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,230,Ronen Zinshtein,Am. Waltz,1
MA,0,2,Final,Lingping Zeng,Grace Hsu,10,2,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,Mark Nocera,Am. Waltz,2
MA,0,2,Final,Lingping Zeng,Grace Hsu,11,2,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,Amanda Clark,Am. Waltz,2
MA,0,2,Final,Lingping Zeng,Grace Hsu,15,2,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,Chris Muise,Am. Waltz,2
MA,0,2,Final,Lingping Zeng,Grace Hsu,16,2,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,John Nigro,Am. Waltz,2
MA,0,2,Final,Lingping Zeng,Grace Hsu,18,2,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,Mark Sheldon,Am. Waltz,2
MA,0,4,Final,Lingping Zeng,Grace Hsu,21,2,4, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,Michael Ulbrich,Am. Waltz,2
MA,0,3,Final,Lingping Zeng,Grace Hsu,23,2,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,141,Ronen Zinshtein,Am. Waltz,2
CT,0,5,Final,Jeremiah Smith,Alisha Washer,10,3,5, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,Mark Nocera,Am. Waltz,3
CT,0,3,Final,Jeremiah Smith,Alisha Washer,11,3,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,Amanda Clark,Am. Waltz,3
CT,0,5,Final,Jeremiah Smith,Alisha Washer,15,3,5, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,Chris Muise,Am. Waltz,3
CT,0,5,Final,Jeremiah Smith,Alisha Washer,16,3,5, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,John Nigro,Am. Waltz,3
CT,0,3,Final,Jeremiah Smith,Alisha Washer,18,3,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,Mark Sheldon,Am. Waltz,3
CT,0,2,Final,Jeremiah Smith,Alisha Washer,21,3,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,Michael Ulbrich,Am. Waltz,3
CT,0,2,Final,Jeremiah Smith,Alisha Washer,23,3,2, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,150,Ronen Zinshtein,Am. Waltz,3
,0,7,Final,Brad March,Ainsley McMahon,10,4,7, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,Mark Nocera,Am. Waltz,4
,0,5,Final,Brad March,Ainsley McMahon,11,4,5, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,Amanda Clark,Am. Waltz,4
,0,4,Final,Brad March,Ainsley McMahon,15,4,4, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,Chris Muise,Am. Waltz,4
,0,3,Final,Brad March,Ainsley McMahon,16,4,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,John Nigro,Am. Waltz,4
,0,5,Final,Brad March,Ainsley McMahon,18,4,5, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,Mark Sheldon,Am. Waltz,4
,0,3,Final,Brad March,Ainsley McMahon,21,4,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,Michael Ulbrich,Am. Waltz,4
,0,6,Final,Brad March,Ainsley McMahon,23,4,6, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,186,Ronen Zinshtein,Am. Waltz,4
MA,0,4,Final,Kevin Kelley,Maria Van Thienen,10,5,4, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,Mark Nocera,Am. Waltz,5
MA,0,6,Final,Kevin Kelley,Maria Van Thienen,11,5,6, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,Amanda Clark,Am. Waltz,5
MA,0,7,Final,Kevin Kelley,Maria Van Thienen,15,5,7, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,Chris Muise,Am. Waltz,5
MA,0,4,Final,Kevin Kelley,Maria Van Thienen,16,5,4, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,John Nigro,Am. Waltz,5
MA,0,4,Final,Kevin Kelley,Maria Van Thienen,18,5,4, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,Mark Sheldon,Am. Waltz,5
MA,0,5,Final,Kevin Kelley,Maria Van Thienen,21,5,5, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,Michael Ulbrich,Am. Waltz,5
MA,0,7,Final,Kevin Kelley,Maria Van Thienen,23,5,7, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,119,Ronen Zinshtein,Am. Waltz,5
,0,3,Final,Devin Jones,Lorene  Hill,10,6,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,191,Mark Nocera,Am. Waltz,6
,0,7,Final,Devin Jones,Lorene  Hill,11,6,7, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,191,Amanda Clark,Am. Waltz,6
,0,3,Final,Devin Jones,Lorene  Hill,15,6,3, Adult Newcomer Am. Waltz  (W),Sample,0,tub13,40422038,191,Chris Muise,Am. Waltz,6
