couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
BC,0,1,Final,Charles To,Dorcas  Wan,11,1,1, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,143,Linda Chen,Waltz,1
BC,0,1,Final,Charles To,Dorcas  Wan,12,1,1, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,143,Monique Hrouda,Waltz,1
BC,0,2,Final,Charles To,Dorcas  Wan,13,1,2, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,143,Anya Klimova - Preston,Waltz,1
BC,0,2,Final,Charles To,Dorcas  Wan,15,1,2, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,143,Martin Lefebvre,Waltz,1
BC,0,1,Final,Charles To,Dorcas  Wan,16,1,1, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,143,Denis Tremblay,Waltz,1
BC,0,6,Final,Geoffrey Lau,Jessie Chung,11,4,6, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,190,Linda Chen,Waltz,2
BC,0,5,Final,Geoffrey Lau,Jessie Chung,12,4,5, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,190,Monique Hrouda,Waltz,2
BC,0,1,Final,Geoffrey Lau,Jessie Chung,13,4,1, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,190,Anya Klimova - Preston,Waltz,2
BC,0,4,Final,Geoffrey Lau,Jessie Chung,15,4,4, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,190,Martin Lefebvre,Waltz,2
BC,0,2,Final,Geoffrey Lau,Jessie Chung,16,4,2, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,190,Denis Tremblay,Waltz,2
BC,0,3,Final,Andrew Lee,Robin  Yoon,11,2,3, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,163,Linda Chen,Waltz,3
BC,0,2,Final,Andrew Lee,Robin  Yoon,12,2,2, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,163,Monique Hrouda,Waltz,3
BC,0,6,Final,Andrew Lee,Robin  Yoon,13,2,6, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,163,Anya Klimova - Preston,Waltz,3
BC,0,1,Final,Andrew Lee,Robin  Yoon,15,2,1, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,163,Martin Lefebvre,Waltz,3
BC,0,3,Final,Andrew Lee,Robin  Yoon,16,2,3, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,163,Denis Tremblay,Waltz,3
BC,0,4,Final,Jorden  Hetherington,Cindy Ngan,11,3,4, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,186,Linda Chen,Waltz,4
BC,0,3,Final,Jorden  Hetherington,Cindy Ngan,12,3,3, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,186,Monique Hrouda,Waltz,4
BC,0,4,Final,Jorden  Hetherington,Cindy Ngan,13,3,4, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,186,Anya Klimova - Preston,Waltz,4
BC,0,3,Final,Jorden  Hetherington,Cindy Ngan,15,3,3, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,186,Martin Lefebvre,Waltz,4
BC,0,4,Final,Jorden  Hetherington,Cindy Ngan,16,3,4, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,186,Denis Tremblay,Waltz,4
BC,0,2,Final,Jake  Larson,Suzanne Hou,11,5,2, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,106,Linda Chen,Waltz,5
BC,0,7,Final,Jake  Larson,Suzanne Hou,12,5,7, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,106,Monique Hrouda,Waltz,5
BC,0,3,Final,Jake  Larson,Suzanne Hou,13,5,3, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,106,Anya Klimova - Preston,Waltz,5
BC,0,5,Final,Jake  Larson,Suzanne Hou,15,5,5, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,106,Martin Lefebvre,Waltz,5
BC,0,7,Final,Jake  Larson,Suzanne Hou,16,5,7, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,106,Denis Tremblay,Waltz,5
BC,0,7,Final,Cheklon Liu,Melinda Yu,11,7,7, Amateur (1)  Newcomer Standard  (WQ),Sample,0,ubc13,41012010,184,Linda Chen,Waltz,6
