couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
BC,0,1,Final,Phil Dubois,Maureen Carse,11,1,1, Amateur Senior I Newcomer Latin  (C),Sample,0,vcc14,40432020,28,Kim Donaghy,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,13,1,1, Amateur Senior I Newcomer Latin  (C),Sample,0,vcc14,40432020,28,Kyryl Dudchenko,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,14,1,1, Amateur Senior I Newcomer Latin  (C),Sample,0,vcc14,40432020,28,Elizabeth C Knoll,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,15,1,1, Amateur Senior I Newcomer Latin  (C),Sample,0,vcc14,40432020,28,Diana Lefebvre,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,16,1,1, Amateur Senior I Newcomer Latin  (C),Sample,0,vcc14,40432020,28,Ekaterina Michtchenko,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,11,1,1, Amateur Senior III Newcomer Latin  (C),Sample,0,vcc14,40452020,28,Kim Donaghy,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,13,1,1, Amateur Senior III Newcomer Latin  (C),Sample,0,vcc14,40452020,28,Kyryl Dudchenko,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,14,1,1, Amateur Senior III Newcomer Latin  (C),Sample,0,vcc14,40452020,28,Elizabeth C Knoll,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,15,1,1, Amateur Senior III Newcomer Latin  (C),Sample,0,vcc14,40452020,28,Diana Lefebvre,Cha Cha,1
BC,0,1,Final,Phil Dubois,Maureen Carse,16,1,1, Amateur Senior III Newcomer Latin  (C),Sample,0,vcc14,40452020,28,Ekaterina Michtchenko,Cha Cha,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,11,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Waltz  (W),Sample,0,vcc14,88C73218,10,Kim Donaghy,Intl. Waltz,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,14,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Waltz  (W),Sample,0,vcc14,88C73218,10,Elizabeth C Knoll,Intl. Waltz,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,15,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Waltz  (W),Sample,0,vcc14,88C73218,10,Diana Lefebvre,Intl. Waltz,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,16,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Waltz  (W),Sample,0,vcc14,88C73218,10,Ekaterina Michtchenko,Intl. Waltz,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,17,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Waltz  (W),Sample,0,vcc14,88C73218,10,Young Ryu,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,11,1,1, Pro/Am Ladies Adult A2 Open Gold Intl. Waltz  (W),Sample,0,vcc14,88C23D18,46,Kim Donaghy,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,14,1,1, Pro/Am Ladies Adult A2 Open Gold Intl. Waltz  (W),Sample,0,vcc14,88C23D18,46,Elizabeth C Knoll,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,15,1,1, Pro/Am Ladies Adult A2 Open Gold Intl. Waltz  (W),Sample,0,vcc14,88C23D18,46,Diana Lefebvre,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,16,1,1, Pro/Am Ladies Adult A2 Open Gold Intl. Waltz  (W),Sample,0,vcc14,88C23D18,46,Ekaterina Michtchenko,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,17,1,1, Pro/Am Ladies Adult A2 Open Gold Intl. Waltz  (W),Sample,0,vcc14,88C23D18,46,Young Ryu,Intl. Waltz,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,11,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Tango  (T),Sample,0,vcc14,88C73219,10,Kim Donaghy,Intl. Tango,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,14,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Tango  (T),Sample,0,vcc14,88C73219,10,Elizabeth C Knoll,Intl. Tango,1
BC,0,1,Final,Michel Guimond,Andrea Gormick,15,1,1, Pro/Am Ladies Adult C1 Interm Silver Intl. Tango  (T),Sample,0,vcc14,88C73219,10,Diana Lefebvre,Intl. Tango,1
