couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
ON,0,1,Final,Ole Burlay,Deborah Lundmark,10,1,1, Pro/Am Ladies Adult B2 Int. Gold Intl. Waltz  (W),Sample,0,vco13,88C53A18,119,Glen Brennan,Intl. Waltz,1
ON,0,1,Final,Ole Burlay,Deborah Lundmark,13,1,1, Pro/Am Ladies Adult B2 Int. Gold Intl. Waltz  (W),Sample,0,vco13,88C53A18,119,Elena Kryuchkova,Intl. Waltz,1
ON,0,1,Final,Ole Burlay,Deborah Lundmark,14,1,1, Pro/Am Ladies Adult B2 Int. Gold Intl. Waltz  (W),Sample,0,vco13,88C53A18,119,Aigars Stolcers,Intl. Waltz,1
ON,0,1,Final,Ole Burlay,Deborah Lundmark,19,1,1, Pro/Am Ladies Adult B2 Int. Gold Intl. Waltz  (W),Sample,0,vco13,88C53A18,119,Meryem Pearson,Intl. Waltz,1
ON,0,1,Final,Ole Burlay,Deborah Lundmark,20,1,1, Pro/Am Ladies Adult B2 Int. Gold Intl. Waltz  (W),Sample,0,vco13,88C53A18,119,Katarina Mitchenko,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,10,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Waltz  (W),Sample,0,vco13,88C53D38,120,Glen Brennan,Am. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,13,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Waltz  (W),Sample,0,vco13,88C53D38,120,Elena Kryuchkova,Am. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,14,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Waltz  (W),Sample,0,vco13,88C53D38,120,Aigars Stolcers,Am. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,19,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Waltz  (W),Sample,0,vco13,88C53D38,120,Meryem Pearson,Am. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,20,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Waltz  (W),Sample,0,vco13,88C53D38,120,Katarina Mitchenko,Am. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,10,1,1, Pro/Am Gents Adult A Gold Star Intl. Waltz  (W),Sample,0,vco13,90C13E18,123,Glen Brennan,Intl. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,13,1,1, Pro/Am Gents Adult A Gold Star Intl. Waltz  (W),Sample,0,vco13,90C13E18,123,Elena Kryuchkova,Intl. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,14,1,1, Pro/Am Gents Adult A Gold Star Intl. Waltz  (W),Sample,0,vco13,90C13E18,123,Aigars Stolcers,Intl. Waltz,1
NJ,0,2,Final,Samuel Hacke,Iveta Hackeova,19,1,2, Pro/Am Gents Adult A Gold Star Intl. Waltz  (W),Sample,0,vco13,90C13E18,123,Meryem Pearson,Intl. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,20,1,1, Pro/Am Gents Adult A Gold Star Intl. Waltz  (W),Sample,0,vco13,90C13E18,123,Katarina Mitchenko,Intl. Waltz,1
BC,0,1,Final,Clifford Enns,Heather Dunn,10,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Foxtrot  (F),Sample,0,vco13,88C53D3A,120,Glen Brennan,Am. Foxtrot,1
BC,0,1,Final,Clifford Enns,Heather Dunn,13,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Foxtrot  (F),Sample,0,vco13,88C53D3A,120,Elena Kryuchkova,Am. Foxtrot,1
BC,0,1,Final,Clifford Enns,Heather Dunn,14,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Foxtrot  (F),Sample,0,vco13,88C53D3A,120,Aigars Stolcers,Am. Foxtrot,1
BC,0,1,Final,Clifford Enns,Heather Dunn,19,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Foxtrot  (F),Sample,0,vco13,88C53D3A,120,Meryem Pearson,Am. Foxtrot,1
BC,0,1,Final,Clifford Enns,Heather Dunn,20,1,1, Pro/Am Ladies Adult B2 Open Gold Am. Foxtrot  (F),Sample,0,vco13,88C53D3A,120,Katarina Mitchenko,Am. Foxtrot,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,10,1,1, Pro/Am Gents Adult A Gold Star Intl. Tango  (T),Sample,0,vco13,90C13E19,123,Glen Brennan,Intl. Tango,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,13,1,1, Pro/Am Gents Adult A Gold Star Intl. Tango  (T),Sample,0,vco13,90C13E19,123,Elena Kryuchkova,Intl. Tango,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,14,1,1, Pro/Am Gents Adult A Gold Star Intl. Tango  (T),Sample,0,vco13,90C13E19,123,Aigars Stolcers,Intl. Tango,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,19,1,1, Pro/Am Gents Adult A Gold Star Intl. Tango  (T),Sample,0,vco13,90C13E19,123,Meryem Pearson,Intl. Tango,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,20,1,1, Pro/Am Gents Adult A Gold Star Intl. Tango  (T),Sample,0,vco13,90C13E19,123,Katarina Mitchenko,Intl. Tango,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,10,1,1, Pro/Am Gents Adult A Gold Star Intl. V. Waltz  (V),Sample,0,vco13,90C13E1A,123,Glen Brennan,Intl. V. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,13,1,1, Pro/Am Gents Adult A Gold Star Intl. V. Waltz  (V),Sample,0,vco13,90C13E1A,123,Elena Kryuchkova,Intl. V. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,14,1,1, Pro/Am Gents Adult A Gold Star Intl. V. Waltz  (V),Sample,0,vco13,90C13E1A,123,Aigars Stolcers,Intl. V. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,19,1,1, Pro/Am Gents Adult A Gold Star Intl. V. Waltz  (V),Sample,0,vco13,90C13E1A,123,Meryem Pearson,Intl. V. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,20,1,1, Pro/Am Gents Adult A Gold Star Intl. V. Waltz  (V),Sample,0,vco13,90C13E1A,123,Katarina Mitchenko,Intl. V. Waltz,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,10,1,1, Pro/Am Gents Adult A Gold Star Intl. Foxtrot  (F),Sample,0,vco13,90C13E1B,123,Glen Brennan,Intl. Foxtrot,1
NJ,0,1,Final,Samuel Hacke,Iveta Hackeova,13,1,1, Pro/Am Gents Adult A Gold Star Intl. Foxtrot  (F),Sample,0,vco13,90C13E1B,123,Elena Kryuchkova,Intl. Foxtrot,1
