couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
California,0,2,Final,Rhesa Nathanael,Sarah Tang,11,1,2, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,109,Steve Vasco,Waltz,1
California,0,1,Final,Rhesa Nathanael,Sarah Tang,13,1,1, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,109,Diana Surkis,Waltz,1
California,0,1,Final,Rhesa Nathanael,Sarah Tang,14,1,1, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,109,Tadas Jonyla,Waltz,1
CA,0,1,Final,Kai Kang,Jin Liang,11,2,1, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,297,Steve Vasco,Waltz,2
CA,0,2,Final,Kai Kang,Jin Liang,13,2,2, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,297,Diana Surkis,Waltz,2
CA,0,3,Final,Kai Kang,Jin Liang,14,2,3, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,297,Tadas Jonyla,Waltz,2
CA,0,3,Final,Zachary Abelson,Lana Vasiljevic,11,3,3, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,281,Steve Vasco,Waltz,3
CA,0,4,Final,Zachary Abelson,Lana Vasiljevic,13,3,4, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,281,Diana Surkis,Waltz,3
CA,0,2,Final,Zachary Abelson,Lana Vasiljevic,14,3,2, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,281,Tadas Jonyla,Waltz,3
California,0,5,Final,John Huang,Angela He,11,4,5, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,248,Steve Vasco,Waltz,4
California,0,3,Final,John Huang,Angela He,13,4,3, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,248,Diana Surkis,Waltz,4
California,0,4,Final,John Huang,Angela He,14,4,4, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,248,Tadas Jonyla,Waltz,4
CA,0,4,Final,Kelvin Fok,Rebecca Fernandez,11,5,4, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,246,Steve Vasco,Waltz,5
CA,0,6,Final,Kelvin Fok,Rebecca Fernandez,13,5,6, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,246,Diana Surkis,Waltz,5
CA,0,5,Final,Kelvin Fok,Rebecca Fernandez,14,5,5, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,246,Tadas Jonyla,Waltz,5
CA,0,6,Final,Chris Henzie,Anna Mebust,11,6,6, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,291,Steve Vasco,Waltz,6
CA,0,5,Final,Chris Henzie,Anna Mebust,13,6,5, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,291,Diana Surkis,Waltz,6
CA,0,6,Final,Chris Henzie,Anna Mebust,14,6,6, Adult Silver Standard  (WFQ),Sample,0,vee13,40423010,291,Tadas Jonyla,Waltz,6
California,0,2,Final,Rhesa Nathanael,Sarah Tang,11,1,2, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,109,Steve Vasco,Foxtrot,1
California,0,1,Final,Rhesa Nathanael,Sarah Tang,13,1,1, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,109,Diana Surkis,Foxtrot,1
California,0,1,Final,Rhesa Nathanael,Sarah Tang,14,1,1, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,109,Tadas Jonyla,Foxtrot,1
CA,0,1,Final,Kai Kang,Jin Liang,11,2,1, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,297,Steve Vasco,Foxtrot,2
CA,0,2,Final,Kai Kang,Jin Liang,13,2,2, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,297,Diana Surkis,Foxtrot,2
CA,0,2,Final,Kai Kang,Jin Liang,14,2,2, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,297,Tadas Jonyla,Foxtrot,2
CA,0,3,Final,Zachary Abelson,Lana Vasiljevic,11,3,3, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,281,Steve Vasco,Foxtrot,3
CA,0,5,Final,Zachary Abelson,Lana Vasiljevic,13,3,5, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,281,Diana Surkis,Foxtrot,3
CA,0,3,Final,Zachary Abelson,Lana Vasiljevic,14,3,3, Adult Silver Standard  (WFQ),Sample,1,vee13,40423010,281,Tadas Jonyla,Foxtrot,3
