couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
IN,0,1,Final,Mark Weisenburger,Abby Nieman,11,1,1, Pro/Am Ladies Junior 3 Open Bronze Salsa  (S),Sample,0,wco11,88A42D67,174,Wolfgang Opitz,Salsa,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,14,1,1, Pro/Am Ladies Junior 3 Open Bronze Salsa  (S),Sample,0,wco11,88A42D67,174,Allan Tornsberg,Salsa,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,16,1,1, Pro/Am Ladies Junior 3 Open Bronze Salsa  (S),Sample,0,wco11,88A42D67,174,Teresa Shiry,Salsa,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,17,1,1, Pro/Am Ladies Junior 3 Open Bronze Salsa  (S),Sample,0,wco11,88A42D67,174,Martin Lamb,Salsa,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,18,1,1, Pro/Am Ladies Junior 3 Open Bronze Salsa  (S),Sample,0,wco11,88A42D67,174,Tony Meredith,Salsa,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,11,1,1, Pro/Am Ladies Junior 3 Full Bronze Hustle  (H),Sample,0,wco11,88A42B69,174,Wolfgang Opitz,Hustle,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,14,1,1, Pro/Am Ladies Junior 3 Full Bronze Hustle  (H),Sample,0,wco11,88A42B69,174,Allan Tornsberg,Hustle,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,16,1,1, Pro/Am Ladies Junior 3 Full Bronze Hustle  (H),Sample,0,wco11,88A42B69,174,Teresa Shiry,Hustle,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,17,1,1, Pro/Am Ladies Junior 3 Full Bronze Hustle  (H),Sample,0,wco11,88A42B69,174,Martin Lamb,Hustle,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,18,1,1, Pro/Am Ladies Junior 3 Full Bronze Hustle  (H),Sample,0,wco11,88A42B69,174,Tony Meredith,Hustle,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,11,1,1, Pro/Am Ladies Junior 3 Open Bronze Am. Samba  (S),Sample,0,wco11,88A42D4D,174,Wolfgang Opitz,Am. Samba,1
IN,0,1,Final,Mark Weisenburger,Abby Nieman,14,1,1, Pro/Am Ladies Junior 3 Open Bronze Am. Samba  (S),Sample,0,wco11,88A42D4D,174,Allan Tornsberg,Am. Samba,1
