couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Babak Dabagh,Alisa Billig,11,1,1, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,115,Ludmila Popova,Intl. Waltz,1
WA,0,1,Final,Babak Dabagh,Alisa Billig,13,1,1, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,115,Elizabeth Knoll,Intl. Waltz,1
WA,0,3,Final,Babak Dabagh,Alisa Billig,16,1,3, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,115,Byron Johnson,Intl. Waltz,1
WA,0,2,Final,Calvin Hoek,Jennifer Porter,11,2,2, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,128,Ludmila Popova,Intl. Waltz,2
WA,0,2,Final,Calvin Hoek,Jennifer Porter,13,2,2, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,128,Elizabeth Knoll,Intl. Waltz,2
WA,0,2,Final,Calvin Hoek,Jennifer Porter,16,2,2, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,128,Byron Johnson,Intl. Waltz,2
WA,0,3,Final,Aaron Clark,Alexandra Kronz-Kaethler,11,3,3, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,111,Ludmila Popova,Intl. Waltz,3
WA,0,3,Final,Aaron Clark,Alexandra Kronz-Kaethler,13,3,3, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,111,Elizabeth Knoll,Intl. Waltz,3
WA,0,1,Final,Aaron Clark,Alexandra Kronz-Kaethler,16,3,1, Amateur Youth Newcomer Intl. Waltz  (W),Sample,0,wdf08,402F2018,111,Byron Johnson,Intl. Waltz,3
WA,0,1,Final,Max Levin,Margaret Stepanyants,11,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,wdf08,402A2818,142,Ludmila Popova,Intl. Waltz,1
WA,0,1,Final,Max Levin,Margaret Stepanyants,13,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,wdf08,402A2818,142,Elizabeth Knoll,Intl. Waltz,1
WA,0,1,Final,Max Levin,Margaret Stepanyants,16,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,wdf08,402A2818,142,Byron Johnson,Intl. Waltz,1
WA,0,1,Final,Alexander Zmanovskiy,Megan Townsend,11,1,1, Amateur Junior II Bronze Intl. Waltz  (W),Sample,0,wdf08,402B2818,177,Ludmila Popova,Intl. Waltz,1
WA,0,1,Final,Alexander Zmanovskiy,Megan Townsend,13,1,1, Amateur Junior II Bronze Intl. Waltz  (W),Sample,0,wdf08,402B2818,177,Elizabeth Knoll,Intl. Waltz,1
WA,0,1,Final,Alexander Zmanovskiy,Megan Townsend,16,1,1, Amateur Junior II Bronze Intl. Waltz  (W),Sample,0,wdf08,402B2818,177,Byron Johnson,Intl. Waltz,1
WA,0,2,Final,Aaron Clark,Alice Ovsipyan,11,1,2, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,111,Ludmila Popova,Intl. Waltz,1
WA,0,1,Final,Aaron Clark,Alice Ovsipyan,13,1,1, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,111,Elizabeth Knoll,Intl. Waltz,1
WA,0,1,Final,Aaron Clark,Alice Ovsipyan,16,1,1, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,111,Byron Johnson,Intl. Waltz,1
WA,0,1,Final,Calvin Hoek,Alexandra Kronz-Kaethler,11,2,1, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,128,Ludmila Popova,Intl. Waltz,2
WA,0,2,Final,Calvin Hoek,Alexandra Kronz-Kaethler,13,2,2, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,128,Elizabeth Knoll,Intl. Waltz,2
WA,0,2,Final,Calvin Hoek,Alexandra Kronz-Kaethler,16,2,2, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,128,Byron Johnson,Intl. Waltz,2
WA,0,3,Final,Sergei Yesayan,Vivian Kasabyan,11,3,3, Amateur Junior II Newcomer Intl. Waltz  (W),Sample,0,wdf08,402B2018,175,Ludmila Popova,Intl. Waltz,3
