couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
AB,0,1,Final,Anthony Grafton,Shawni Northrup,11,1,1, Pro/Am Ladies Teen Pre-Bronze Intl. Waltz  (W),Sample,0,wrb12,88A22918,105,Tanya Cardinal,Intl. Waltz,1
AB,0,1,Final,Anthony Grafton,Shawni Northrup,15,1,1, Pro/Am Ladies Teen Pre-Bronze Intl. Waltz  (W),Sample,0,wrb12,88A22918,105,Ekaterina Michtchenko,Intl. Waltz,1
AB,0,1,Final,Anthony Grafton,Shawni Northrup,16,1,1, Pro/Am Ladies Teen Pre-Bronze Intl. Waltz  (W),Sample,0,wrb12,88A22918,105,Delphine Romaire,Intl. Waltz,1
AB,0,1,Final,Rufino Rodriguez,Louise Burden,11,1,1, Pro/Am Ladies Adult A Pre-Bronze Intl. Waltz  (W),Sample,0,wrb12,88C12918,110,Tanya Cardinal,Intl. Waltz,1
AB,0,1,Final,Rufino Rodriguez,Louise Burden,15,1,1, Pro/Am Ladies Adult A Pre-Bronze Intl. Waltz  (W),Sample,0,wrb12,88C12918,110,Ekaterina Michtchenko,Intl. Waltz,1
AB,0,1,Final,Rufino Rodriguez,Louise Burden,16,1,1, Pro/Am Ladies Adult A Pre-Bronze Intl. Waltz  (W),Sample,0,wrb12,88C12918,110,Delphine Romaire,Intl. Waltz,1
AB,0,1,Final,Jim Deglau,Rolann Latorre,11,1,1, Pro/Am Ladies Teen Bronze Intl. Waltz  (W),Sample,0,wrb12,88A22818,103,Tanya Cardinal,Intl. Waltz,1
AB,0,1,Final,Jim Deglau,Rolann Latorre,15,1,1, Pro/Am Ladies Teen Bronze Intl. Waltz  (W),Sample,0,wrb12,88A22818,103,Ekaterina Michtchenko,Intl. Waltz,1
AB,0,1,Final,Jim Deglau,Rolann Latorre,16,1,1, Pro/Am Ladies Teen Bronze Intl. Waltz  (W),Sample,0,wrb12,88A22818,103,Delphine Romaire,Intl. Waltz,1
AB,0,1,Final,Jo Jo Belmonte,Casey Richardson,11,1,1, Pro/Am Ladies Adult A Bronze Intl. Waltz  (W),Sample,0,wrb12,88C12818,101,Tanya Cardinal,Intl. Waltz,1
AB,0,1,Final,Jo Jo Belmonte,Casey Richardson,15,1,1, Pro/Am Ladies Adult A Bronze Intl. Waltz  (W),Sample,0,wrb12,88C12818,101,Ekaterina Michtchenko,Intl. Waltz,1
AB,0,1,Final,Jo Jo Belmonte,Casey Richardson,16,1,1, Pro/Am Ladies Adult A Bronze Intl. Waltz  (W),Sample,0,wrb12,88C12818,101,Delphine Romaire,Intl. Waltz,1
AB,0,1,Final,Dima Levita,Judy Chu,11,1,1, Pro/Am Ladies Adult C Bronze Intl. Waltz  (W),Sample,0,wrb12,88C32818,109,Tanya Cardinal,Intl. Waltz,1
AB,0,1,Final,Dima Levita,Judy Chu,15,1,1, Pro/Am Ladies Adult C Bronze Intl. Waltz  (W),Sample,0,wrb12,88C32818,109,Ekaterina Michtchenko,Intl. Waltz,1
AB,0,1,Final,Dima Levita,Judy Chu,16,1,1, Pro/Am Ladies Adult C Bronze Intl. Waltz  (W),Sample,0,wrb12,88C32818,109,Delphine Romaire,Intl. Waltz,1
AB,0,1,Final,Dima Levita,Judy Chu,11,1,1, Pro/Am Ladies Adult B Bronze Intl. Waltz  (W),Sample,0,wrb12,88C22818,109,Tanya Cardinal,Intl. Waltz,1
