couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Lance Morton,Amanda Lisica,11,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,542,Bill Davies,Cha Cha,1
CA,0,1,Final,Lance Morton,Amanda Lisica,20,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,542,Paul Richardson,Cha Cha,1
CA,0,1,Final,Lance Morton,Amanda Lisica,21,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,542,Olga Rodionova,Cha Cha,1
CA,0,1,Final,Lance Morton,Amanda Lisica,22,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,542,Dasha Sushko,Cha Cha,1
CA,0,1,Final,Lance Morton,Amanda Lisica,23,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,542,Oksana Zolotarevskaya,Cha Cha,1
PA,0,2,Final,Alexander Jacobs,Ruth Yang,11,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,335,Bill Davies,Cha Cha,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,20,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,335,Paul Richardson,Cha Cha,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,21,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,335,Olga Rodionova,Cha Cha,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,22,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,335,Dasha Sushko,Cha Cha,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,23,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,0,wsz12,40422840,335,Oksana Zolotarevskaya,Cha Cha,2
CA,0,2,Final,Lance Morton,Amanda Lisica,11,1,2, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,542,Bill Davies,Rumba,1
CA,0,2,Final,Lance Morton,Amanda Lisica,20,1,2, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,542,Paul Richardson,Rumba,1
CA,0,1,Final,Lance Morton,Amanda Lisica,21,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,542,Olga Rodionova,Rumba,1
CA,0,1,Final,Lance Morton,Amanda Lisica,22,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,542,Dasha Sushko,Rumba,1
CA,0,1,Final,Lance Morton,Amanda Lisica,23,1,1, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,542,Oksana Zolotarevskaya,Rumba,1
PA,0,1,Final,Alexander Jacobs,Ruth Yang,11,2,1, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,335,Bill Davies,Rumba,2
PA,0,1,Final,Alexander Jacobs,Ruth Yang,20,2,1, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,335,Paul Richardson,Rumba,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,21,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,335,Olga Rodionova,Rumba,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,22,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,335,Dasha Sushko,Rumba,2
PA,0,2,Final,Alexander Jacobs,Ruth Yang,23,2,2, Amateur Adult Bronze Rhythm  (CR),Sample,1,wsz12,40422840,335,Oksana Zolotarevskaya,Rumba,2
NY,0,1,Final,George Brower,Mari-Ann Brower,11,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,wsz12,40442840,560,Bill Davies,Cha Cha,1
NY,0,1,Final,George Brower,Mari-Ann Brower,20,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,wsz12,40442840,560,Paul Richardson,Cha Cha,1
NY,0,1,Final,George Brower,Mari-Ann Brower,21,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,wsz12,40442840,560,Olga Rodionova,Cha Cha,1
NY,0,1,Final,George Brower,Mari-Ann Brower,22,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,wsz12,40442840,560,Dasha Sushko,Cha Cha,1
NY,0,1,Final,George Brower,Mari-Ann Brower,23,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,wsz12,40442840,560,Oksana Zolotarevskaya,Cha Cha,1
NY,0,1,Final,George Brower,Mari-Ann Brower,11,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,wsz12,40442840,560,Bill Davies,Rumba,1
NY,0,1,Final,George Brower,Mari-Ann Brower,20,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,wsz12,40442840,560,Paul Richardson,Rumba,1
NY,0,1,Final,George Brower,Mari-Ann Brower,21,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,wsz12,40442840,560,Olga Rodionova,Rumba,1
NY,0,1,Final,George Brower,Mari-Ann Brower,22,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,wsz12,40442840,560,Dasha Sushko,Rumba,1
NY,0,1,Final,George Brower,Mari-Ann Brower,23,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,wsz12,40442840,560,Oksana Zolotarevskaya,Rumba,1
CA,0,2,Final,Lance Morton,Amanda Lisica,11,1,2, Amateur Adult Bronze Rhythm (S)**  (S),Sample,0,wsz12,4042287C,542,Bill Davies,Rhythm (S)**,1
